"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id","orig_file"
"SEC 35 MIDDLE",3.569299,3.496411,3.427578,3.360931,3.302741,3.259929,3.217318,3.16542,3.118536,3.084434,3.068322,3.070276,3.082179,3.081802,3.056047,3.021016,3.009208,3.047562,3.142385,3.257173,3.323596,3.327347,3.299497,3.254005,3.199805,3.143124,3.089831,3.038273,2.987989,2.940084,2.89947,2.866909,2.845472,2.835744,2.847506,2.909774,3.051374,3.243472,10.875,8.5693,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:39:13",10000,36.6,"GPGGA",223835,46.0446611166667,"N",-109.1970679,"W",32232,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.597059,3.52551,3.457805,3.392725,3.332945,3.284956,3.239086,3.187815,3.141351,3.107373,3.088608,3.088056,3.098232,3.095551,3.067634,3.032328,3.019046,3.052881,3.14117,3.251032,3.31535,3.318239,3.290778,3.24731,3.193993,3.137614,3.083961,3.033548,2.983217,2.936505,2.895901,2.864089,2.84278,2.832661,2.8431,2.903631,3.039953,3.228941,12.473,8.5162,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:39:41",10000,36.6,"GPGGA",223905,46.0446616166667,"N",-109.197457866667,"W",32233,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.483589,3.416639,3.355393,3.295548,3.238429,3.193366,3.153005,3.106212,3.063398,3.031188,3.013547,3.011615,3.020329,3.017243,2.991736,2.959055,2.947021,2.978944,3.060494,3.160446,3.218359,3.219867,3.193911,3.15328,3.103357,3.050858,3.001617,2.954552,2.907727,2.863967,2.826492,2.796395,2.776905,2.767228,2.777888,2.833029,2.961362,3.136033,12.742,9.1103,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:40:08",10000,36.2,"GPGGA",223933,46.0446621666667,"N",-109.1978211,"W",32234,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.639069,3.563957,3.494836,3.427074,3.363887,3.314281,3.268052,3.215614,3.167951,3.133124,3.113478,3.112806,3.122423,3.119871,3.092047,3.055548,3.041413,3.075797,3.167045,3.279418,3.345541,3.349534,3.322074,3.277427,3.222576,3.164765,3.1111,3.058556,3.006883,2.958949,2.918392,2.884652,2.862607,2.85337,2.864018,2.924708,3.064677,3.25675,12.214,8.8031,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:40:36",10000,36,"GPGGA",224000,46.0446624166667,"N",-109.198170733333,"W",32235,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.602745,3.529562,3.459707,3.391779,3.331624,3.289076,3.246138,3.192874,3.144149,3.109496,3.092264,3.09204,3.103183,3.101524,3.073778,3.037988,3.024974,3.0623,3.156373,3.270769,3.337689,3.340926,3.312195,3.266613,3.212102,3.154214,3.100302,3.048362,2.997184,2.948976,2.907496,2.874667,2.853406,2.843127,2.854814,2.917418,3.060671,3.256381,11.891,8.7079,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:41:04",10000,35.8,"GPGGA",224028,46.0446632166667,"N",-109.198535533333,"W",32236,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.774501,3.695234,3.621986,3.549239,3.482005,3.4284,3.378295,3.322849,3.271901,3.2343,3.212636,3.209642,3.219006,3.215423,3.185936,3.146921,3.131299,3.165537,3.258613,3.37546,3.44486,3.447948,3.417086,3.369305,3.311774,3.25118,3.194829,3.141393,3.088316,3.038698,2.995865,2.961212,2.937862,2.926526,2.936506,2.997196,3.140343,3.33429,10.78,8.498,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:41:36",10000,35.7,"GPGGA",224056,46.0446639166667,"N",-109.198900383333,"W",32237,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.648834,3.573048,3.501167,3.431545,3.370642,3.325054,3.277752,3.222857,3.173061,3.135922,3.114467,3.111798,3.1187,3.113534,3.084738,3.049353,3.03571,3.069187,3.156527,3.263437,3.324286,3.325351,3.29731,3.253371,3.199616,3.143785,3.091766,3.041738,2.992028,2.945744,2.906134,2.874143,2.85332,2.844215,2.85491,2.915337,3.053319,3.242667,12.429,8.4861,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:42:10",10000,35.7,"GPGGA",224128,46.0446619666667,"N",-109.199317766667,"W",32238,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.54503,3.476618,3.411157,3.346471,3.288355,3.243471,3.198683,3.146749,3.099874,3.064131,3.042208,3.03737,3.042773,3.03521,3.005639,2.969592,2.955067,2.983662,3.062657,3.160283,3.216648,3.217792,3.192253,3.152059,3.102592,3.049631,2.99951,2.951638,2.903773,2.85833,2.820224,2.789963,2.769845,2.760375,2.770465,2.829034,2.959704,3.138066,13.672,8.6376,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:42:40",10000,35.6,"GPGGA",224203,46.04466335,"N",-109.19977535,"W",32239,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.617834,3.54602,3.476637,3.408668,3.349215,3.305773,3.261552,3.208751,3.161206,3.125861,3.107764,3.10816,3.118404,3.116307,3.088465,3.053247,3.039523,3.075651,3.168223,3.281263,3.346143,3.34985,3.323131,3.278377,3.22429,3.16755,3.115276,3.064228,3.013525,2.966253,2.92596,2.893139,2.871622,2.862561,2.873415,2.935102,3.076116,3.268639,11.677,8.4996,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:43:05",10000,35.3,"GPGGA",224232,46.0446641166667,"N",-109.2001673,"W",32240,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.355281,3.290405,3.228391,3.167685,3.114727,3.075349,3.035077,2.987661,2.945072,2.914144,2.895559,2.894227,2.901887,2.898659,2.874279,2.846256,2.840566,2.87748,2.958006,3.050646,3.103641,3.104227,3.079209,3.039767,2.991683,2.939178,2.890434,2.844029,2.79904,2.757285,2.722567,2.696167,2.680903,2.675191,2.688248,2.748543,2.882816,3.06491,14,11.02,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:43:29",10000,35.4,"GPGGA",224257,46.04466525,"N",-109.200508166667,"W",32241,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.305576,3.242108,3.181288,3.121601,3.069422,3.034089,2.997606,2.952141,2.909799,2.880027,2.863623,2.863082,2.871863,2.869883,2.848939,2.824882,2.824319,2.867021,2.949422,3.040929,3.091904,3.091559,3.064242,3.023571,2.974306,2.921608,2.872722,2.826845,2.781755,2.741454,2.708015,2.683661,2.669854,2.666564,2.681876,2.744584,2.882657,3.068787,12.941,12.069,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:43:52",10000,35.5,"GPGGA",224321,46.0446656666667,"N",-109.200807166667,"W",32242,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.333568,3.268255,3.205315,3.144843,3.09386,3.056431,3.017599,2.969664,2.926202,2.893427,2.875224,2.873682,2.881186,2.876136,2.851845,2.824948,2.81961,2.857581,2.938564,3.030216,3.080367,3.080288,3.054783,3.015831,2.966374,2.914659,2.867034,2.820903,2.775068,2.733485,2.699763,2.673947,2.658908,2.653208,2.668386,2.729678,2.865342,3.049628,14.219,10.625,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:44:20",10000,35.2,"GPGGA",224344,46.04466645,"N",-109.201090566667,"W",32243,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.402808,3.336085,3.271249,3.208717,3.150949,3.106945,3.06486,3.016752,2.972369,2.93884,2.918423,2.914835,2.920414,2.914911,2.888658,2.859002,2.851177,2.886457,2.965169,3.057166,3.11052,3.111043,3.0856,3.046022,2.9972,2.944198,2.894619,2.848106,2.802052,2.75982,2.725043,2.698577,2.682628,2.676594,2.690133,2.749869,2.883808,3.066457,14.068,10.688,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:44:43",10000,35,"GPGGA",224412,46.044667,"N",-109.201437316667,"W",32244,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.416781,3.348085,3.281517,3.217487,3.162144,3.121308,3.078483,3.02761,2.982426,2.948941,2.92963,2.927939,2.936492,2.932158,2.905754,2.875396,2.867191,2.904695,2.988978,3.088779,3.146132,3.147639,3.121394,3.080877,3.030504,2.976645,2.926335,2.8786,2.83134,2.787685,2.752104,2.724118,2.706858,2.700537,2.713987,2.776954,2.916858,3.10807,13.794,10.216,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:45:10",10000,34.8,"GPGGA",224435,46.04466815,"N",-109.201720233333,"W",32245,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.41512,3.350258,3.287937,3.225972,3.171026,3.132155,3.092922,3.044583,2.999796,2.966919,2.947794,2.944585,2.950945,2.945621,2.91913,2.887286,2.875542,2.906931,2.984929,3.078826,3.132834,3.134893,3.110744,3.072382,3.024468,2.973794,2.925879,2.880118,2.834462,2.792126,2.755912,2.727763,2.709623,2.701457,2.713409,2.770418,2.899449,3.076828,13.617,9.5443,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:45:41",10000,35,"GPGGA",224503,46.0446686833333,"N",-109.20206455,"W",32246,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.518206,3.449514,3.381743,3.313848,3.254479,3.211494,3.167558,3.114013,3.064956,3.028822,3.005928,3.000634,3.004979,2.997457,2.96813,2.933798,2.920808,2.951947,3.030838,3.125854,3.180972,3.183288,3.159286,3.120396,3.072302,3.019914,2.970847,2.923514,2.875974,2.831809,2.794877,2.765985,2.747936,2.74046,2.752797,2.812969,2.947483,3.130889,14.656,9.8133,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:48:16",10000,35.3,"GPGGA",224534,46.0446695666667,"N",-109.2023976,"W",32247,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.420872,3.357646,3.296011,3.235436,3.179597,3.138162,3.098522,3.051533,3.007866,2.974037,2.953312,2.948299,2.952743,2.946459,2.920481,2.887623,2.875361,2.904712,2.978089,3.066473,3.119699,3.123187,3.10098,3.064808,3.018882,2.969973,2.923206,2.878621,2.834045,2.793086,2.758323,2.731041,2.713758,2.706238,2.717227,2.77271,2.897827,3.06777,13.625,10.215,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:48:34",10000,36.5,"GPGGA",224808,46.0448671,"N",-109.202472083333,"W",32248,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.564317,3.495368,3.429775,3.366078,3.308859,3.268381,3.2281,3.178621,3.133023,3.099342,3.081158,3.078765,3.086149,3.082425,3.05718,3.025613,3.016673,3.053715,3.13664,3.23314,3.289765,3.293315,3.268416,3.228097,3.178041,3.125361,3.075244,3.026901,2.979398,2.936027,2.899698,2.871156,2.853142,2.84672,2.859162,2.919429,3.055503,3.243025,12.308,10.925,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:48:56",10000,36.4,"GPGGA",224826,46.04502895,"N",-109.202468183333,"W",32249,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.40333,3.339386,3.27852,3.218218,3.164282,3.125518,3.087464,3.040476,2.99718,2.965597,2.947711,2.946795,2.955701,2.953929,2.929914,2.900532,2.894106,2.931688,3.013777,3.108102,3.162405,3.165279,3.140816,3.101257,3.051797,3.000103,2.950891,2.903526,2.856877,2.814547,2.779428,2.752346,2.735696,2.72965,2.743084,2.803081,2.939301,3.12444,12.187,11.491,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:49:18",10000,37,"GPGGA",224849,46.0452355833333,"N",-109.20246985,"W",32250,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.591057,3.520885,3.453762,3.38833,3.329229,3.28505,3.241158,3.188438,3.139995,3.103257,3.081714,3.077225,3.082653,3.076488,3.047101,3.010842,2.996426,3.027993,3.108971,3.207574,3.266285,3.270253,3.245713,3.205926,3.15613,3.103082,3.052404,3.003216,2.955038,2.910073,2.871808,2.841459,2.822505,2.814016,2.825209,2.885134,3.021186,3.205341,13.178,9.4944,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:51:01",10000,36.5,"GPGGA",224910,46.0454195166667,"N",-109.20247055,"W",32251,"FarmerB_PRO_PRO_2018_sec35middle.csv"
"SEC 35 MIDDLE",3.51147,3.444819,3.38042,3.315339,3.258887,3.22055,3.181307,3.130907,3.084441,3.050766,3.032184,3.031322,3.039808,3.03618,3.009256,2.975529,2.963598,2.99734,3.081629,3.184206,3.244201,3.248576,3.224446,3.184156,3.134831,3.082202,3.031595,2.983519,2.935514,2.890482,2.852888,2.822925,2.803265,2.794945,2.806255,2.866294,3.001855,3.18695,12.699,9.2241,1.08,-2,1,0.2,"Wheat16H","9/08/2018","16:51:19",10000,36.1,"GPGGA",225053,46.0447752833333,"N",-109.20217545,"W",32252,"FarmerB_PRO_PRO_2018_sec35middle.csv"
