"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id","orig_file"
"HENRYS",3.677876,3.574104,3.474874,3.397977,3.333508,3.278133,3.222998,3.154745,3.091607,3.045953,3.018975,3.013886,3.021142,3.015247,2.982995,2.942178,2.921194,2.95051,3.035477,3.150669,3.232694,3.25435,3.235769,3.19508,3.139264,3.077777,3.015919,2.958232,2.902041,2.850065,2.807235,2.77334,2.748436,2.736359,2.747731,2.811142,2.960185,3.19261,13.203,10.005,NA,0,12.45,13.203,"WheatUS16","25/07/2016","01:40:16",10000,NA,"GPGGA",153950.94,47.89665301,"N",-110.5491409,"W",44469,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.761017,3.655625,3.550714,3.469429,3.40556,3.347047,3.292867,3.225478,3.16016,3.113242,3.088219,3.082648,3.091156,3.087254,3.054906,3.011343,2.991123,3.020286,3.107779,3.228163,3.314144,3.335517,3.315633,3.273451,3.215268,3.151654,3.09032,3.030839,2.974936,2.923234,2.877719,2.841382,2.816035,2.804705,2.816659,2.881226,3.034355,3.275705,12.075,9.67,NA,0,11.25,12.075,"WheatUS16","25/07/2016","01:39:42",10000,NA,"GPGGA",153933.74,47.89665207,"N",-110.5489899,"W",44470,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.487473,3.394629,3.305721,3.23287,3.177505,3.129753,3.082855,3.021823,2.965007,2.923836,2.900601,2.899793,2.910629,2.908944,2.881682,2.844875,2.826954,2.857727,2.943863,3.059298,3.143089,3.1653,3.145664,3.105091,3.051129,2.991314,2.933267,2.878849,2.824551,2.774353,2.732303,2.698418,2.674111,2.664364,2.674523,2.734461,2.877384,3.097307,12.2066,10.122,NA,0,11.39,12.2066,"WheatUS16","25/07/2016","01:39:25",10000,NA,"GPGGA",153914.34,47.89664609,"N",-110.5485,"W",44471,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.707865,3.604727,3.503995,3.424749,3.360975,3.307506,3.253825,3.188585,3.125528,3.08007,3.057186,3.05591,3.065743,3.063725,3.033716,2.991824,2.973821,3.006907,3.098493,3.222277,3.312439,3.334289,3.313638,3.270489,3.21069,3.1467,3.085044,3.02536,2.966916,2.913652,2.867314,2.829146,2.80524,2.794093,2.80615,2.873513,3.030306,3.273283,13.0432,9.7916,NA,0,12.28,13.0432,"WheatUS16","25/07/2016","01:39:05",10000,NA,"GPGGA",153857.34,47.89663475,"N",-110.5481325,"W",44472,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.830042,3.722068,3.618654,3.535944,3.470201,3.413276,3.357924,3.289098,3.226502,3.178319,3.151624,3.14702,3.152726,3.147054,3.116002,3.07454,3.056013,3.08724,3.176971,3.296938,3.379377,3.392153,3.366257,3.319987,3.259956,3.19393,3.131773,3.07311,3.013822,2.961269,2.915895,2.878648,2.85379,2.842113,2.853374,2.919391,3.073341,3.322543,14.2182,10.103,NA,0,13.53,14.2182,"WheatUS16","25/07/2016","05:39:44",10000,NA,"GPGGA",193915.7,47.89662762,"N",-110.5499042,"W",44473,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.529098,3.436142,3.345899,3.272718,3.21544,3.168883,3.121175,3.058576,3.000643,2.958247,2.935213,2.934435,2.943377,2.939331,2.911253,2.874948,2.859493,2.892649,2.981775,3.096632,3.174644,3.189621,3.165538,3.122062,3.067613,3.008142,2.950865,2.897885,2.8455,2.796242,2.755184,2.722243,2.69999,2.690442,2.704495,2.767279,2.911913,3.136017,11.9998,10.36,NA,0,11.17,11.9998,"WheatUS16","25/07/2016","04:34:35",10000,NA,"GPGGA",183404.54,47.89659802,"N",-110.5502085,"W",44474,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.388517,3.30964,3.228767,3.163117,3.114206,3.073171,3.033894,2.981802,2.929421,2.892079,2.871771,2.872442,2.883482,2.884398,2.860997,2.82698,2.811415,2.842034,2.924839,3.033755,3.108943,3.125867,3.104312,3.064488,3.015888,2.961179,2.908295,2.859647,2.81052,2.76457,2.725541,2.693991,2.672356,2.661873,2.671094,2.728401,2.859449,3.063679,10.9376,10.455,NA,0,10.04,10.9376,"WheatUS16","25/07/2016","02:15:05",10000,NA,"GPGGA",161447.94,47.89653096,"N",-110.547896,"W",44475,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.554543,3.460672,3.368948,3.295907,3.240221,3.194291,3.148383,3.087772,3.031342,2.989237,2.968263,2.968529,2.979249,2.979649,2.955146,2.91865,2.903765,2.938968,3.031992,3.155222,3.238057,3.252206,3.224978,3.17824,3.119311,3.056497,2.997282,2.941734,2.887581,2.837691,2.794545,2.759308,2.734614,2.722921,2.734102,2.796217,2.941288,3.164062,10.8154,10.481,NA,0,9.91,10.8154,"WheatUS16","25/07/2016","07:09:56",10000,NA,"GPGGA",210946.04,47.89649759,"N",-110.5490261,"W",44476,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.404078,3.317627,3.232121,3.163971,3.112242,3.067708,3.020069,2.963713,2.908813,2.871851,2.851376,2.849694,2.85938,2.856363,2.829488,2.794269,2.780644,2.81318,2.897736,3.008544,3.08417,3.098546,3.077813,3.038638,2.985749,2.929317,2.875447,2.823619,2.773097,2.72746,2.687491,2.655858,2.635708,2.626432,2.639071,2.701384,2.840138,3.051503,14.848,10.186,NA,0,14.2,14.848,"WheatUS16","25/07/2016","04:34:00",10000,NA,"GPGGA",183354.94,47.89647118,"N",-110.5501409,"W",44477,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.448637,3.367271,3.286416,3.222342,3.173256,3.130657,3.084879,3.02952,2.977815,2.939563,2.9203,2.92113,2.931701,2.931098,2.90582,2.869731,2.855146,2.886756,2.969889,3.078818,3.153975,3.169857,3.148403,3.108241,3.05696,3.001905,2.949593,2.899992,2.848708,2.801346,2.760661,2.727135,2.706259,2.697595,2.708398,2.765932,2.90253,3.104731,11.4546,10.081,NA,0,10.59,11.4546,"WheatUS16","25/07/2016","03:23:52",10000,NA,"GPGGA",172303.54,47.89645718,"N",-110.5481854,"W",44478,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.395131,3.311331,3.229185,3.161863,3.112391,3.068768,3.024853,2.970142,2.919096,2.882919,2.86491,2.867143,2.878676,2.879535,2.857231,2.824036,2.811585,2.847335,2.938066,3.056204,3.135675,3.150195,3.125383,3.081139,3.025814,2.967156,2.910825,2.858113,2.805889,2.759098,2.71852,2.684909,2.661636,2.651124,2.660035,2.718791,2.856313,3.068818,11.6144,10.406,NA,0,10.76,11.6144,"WheatUS16","25/07/2016","03:59:05",10000,NA,"GPGGA",175801.94,47.89642282,"N",-110.5487567,"W",44479,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.700392,3.60692,3.509356,3.435613,3.37732,3.325112,3.274983,3.212387,3.153217,3.110442,3.087317,3.083827,3.090958,3.086436,3.057403,3.019325,3.003294,3.036628,3.126757,3.244512,3.321383,3.331109,3.304044,3.25842,3.201361,3.140614,3.082863,3.027072,2.972189,2.92113,2.878092,2.842631,2.819419,2.808513,2.821957,2.884943,3.034614,3.272938,14.1712,9.9974,NA,0,13.48,14.1712,"WheatUS16","25/07/2016","07:43:16",10000,NA,"GPGGA",214248.84,47.89642126,"N",-110.5493121,"W",44480,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.497138,3.405344,3.316435,3.244711,3.189149,3.143116,3.098997,3.040334,2.984511,2.946057,2.927417,2.931644,2.947449,2.9504,2.925563,2.889874,2.875379,2.912714,3.010473,3.137837,3.226644,3.247246,3.223287,3.17732,3.118834,3.057069,2.999174,2.945452,2.892169,2.841985,2.799039,2.765489,2.741817,2.730872,2.743045,2.80691,2.955131,3.191466,8.9918,10.325,NA,0,7.97,8.9918,"WheatUS16","25/07/2016","02:48:38",10000,NA,"GPGGA",164802.54,47.8963952,"N",-110.5484713,"W",44481,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.813463,3.717298,3.618646,3.543201,3.479451,3.428712,3.379619,3.315925,3.256434,3.211494,3.184334,3.177802,3.183216,3.176436,3.146364,3.10839,3.090494,3.119649,3.204154,3.312989,3.384236,3.394608,3.369102,3.325745,3.270432,3.210723,3.154407,3.102284,3.050617,3.000566,2.958156,2.924162,2.900547,2.891164,2.904205,2.967114,3.115842,3.344332,12.8646,10.325,NA,0,12.09,12.8646,"WheatUS16","25/07/2016","06:11:33",10000,NA,"GPGGA",201103.7,47.89635594,"N",-110.5495807,"W",44482,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.638953,3.541225,3.445517,3.368439,3.310486,3.263126,3.215689,3.153515,3.094298,3.050994,3.028015,3.027323,3.038924,3.037317,3.01031,2.972923,2.956772,2.992124,3.085335,3.206966,3.289824,3.303577,3.276146,3.227621,3.167634,3.103275,3.044244,2.98901,2.933197,2.882178,2.838034,2.801822,2.777762,2.766634,2.779831,2.845438,2.994992,3.232486,10.2044,10.431,NA,0,9.26,10.2044,"WheatUS16","25/07/2016","05:39:14",10000,NA,"GPGGA",193900.1,47.89634105,"N",-110.5498565,"W",44483,"FarmerI_PRO_PRO_2016_henrys.csv"
"HENRYS",3.480829,3.394554,3.308213,3.2419,3.190395,3.150038,3.103713,3.04792,2.993986,2.955907,2.938334,2.94203,2.955371,2.956272,2.932065,2.895982,2.881786,2.915063,3.003541,3.120005,3.201537,3.218937,3.197553,3.156338,3.102303,3.042996,2.987704,2.934287,2.882898,2.835187,2.795895,2.761565,2.739232,2.728542,2.738968,2.79806,2.939631,3.155562,11.417,10.259,NA,0,10.55,11.417,"WheatUS16","25/07/2016","02:14:53",10000,NA,"GPGGA",161436.94,47.89631144,"N",-110.5478978,"W",44484,"FarmerI_PRO_PRO_2016_henrys.csv"
