"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id","orig_file"
"SEC 35 MIDDLE",3.277154,3.203622,3.135709,3.070283,3.011053,2.963435,2.914528,2.863722,2.819343,2.788145,2.769917,2.768311,2.7754,2.772041,2.746294,2.71281,2.697549,2.724843,2.799178,2.89328,2.951485,2.96101,2.943106,2.91043,2.867345,2.821493,2.777618,2.735688,2.693531,2.6537,2.620562,2.594778,2.577881,2.571059,2.583011,2.639105,2.763257,2.932619,13.0952,9.0487,NA,2.816618,14.13,-1,"WheatUS16","9/08/2016","18:28:38",10000,NA,"GPGGA",2811,46.049,"N",-109.1984986,"W",12343,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.217425,3.145518,3.08076,3.018464,2.961421,2.915775,2.871684,2.824966,2.7846,2.756618,2.743649,2.748321,2.762741,2.76652,2.746011,2.716308,2.705909,2.74439,2.834211,2.944196,3.010829,3.020266,2.997532,2.958401,2.909881,2.85983,2.812521,2.767172,2.722352,2.680603,2.644433,2.616507,2.598267,2.590832,2.603195,2.661803,2.794898,2.978519,11.0672,9.7694,NA,2.003308,12.18,-1,"WheatUS16","9/08/2016","15:09:52",10000,NA,"GPGGA",210923,46.05244967,"N",-109.2009337,"W",11769,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.408788,3.329121,3.256577,3.186841,3.125175,3.075278,3.024361,2.970658,2.9255,2.894176,2.879674,2.883172,2.89792,2.900837,2.87668,2.841993,2.829951,2.868733,2.962976,3.07901,3.150979,3.161917,3.138551,3.096937,3.045513,2.991996,2.941746,2.893488,2.845509,2.800706,2.763154,2.733603,2.714196,2.7062,2.720397,2.783103,2.923931,3.118616,9.6008,9.4818,NA,3.178379,10.77,-1,"WheatUS16","9/08/2016","16:06:49",10000,NA,"GPGGA",220553,46.04949913,"N",-109.1998468,"W",11981,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.407086,3.330771,3.259541,3.189609,3.126569,3.076085,3.024058,2.969265,2.921525,2.885745,2.861742,2.853406,2.853936,2.844534,2.814822,2.780376,2.764394,2.789097,2.856804,2.940741,2.991118,2.996619,2.977367,2.944702,2.902611,2.857643,2.814565,2.772238,2.730295,2.691115,2.657582,2.630831,2.614627,2.608948,2.622806,2.678646,2.802341,2.965733,14.2912,9.1896,NA,0,15.28,-1,"WheatUS16","9/08/2016","17:14:02",10000,NA,"GPGGA",231243,46.04657683,"N",-109.1979805,"W",12193,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.41635,3.339615,3.268694,3.200346,3.137418,3.08538,3.032252,2.979005,2.931617,2.895919,2.873389,2.866356,2.868366,2.860205,2.831547,2.796751,2.781907,2.807889,2.877804,2.964261,3.01788,3.02506,3.006269,2.972971,2.92979,2.883856,2.840627,2.797912,2.755532,2.716163,2.683558,2.658155,2.642473,2.637085,2.649857,2.705602,2.831145,3.002591,13.1992,9.49,NA,0,14.23,-1,"WheatUS16","9/08/2016","12:20:39",10000,NA,"GPGGA",181936,46.04467153,"N",-109.2019922,"W",11262,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.281153,3.206023,3.137886,3.071212,3.009109,2.958571,2.908334,2.857214,2.811667,2.77687,2.756362,2.753063,2.758279,2.7515,2.723614,2.689826,2.675984,2.702394,2.773204,2.86265,2.919581,2.928422,2.91119,2.879581,2.838336,2.792991,2.749064,2.706536,2.665605,2.625229,2.592303,2.567512,2.552178,2.546795,2.558741,2.614986,2.741742,2.91461,14.1248,9.3482,NA,0,15.12,-1,"WheatUS16","9/08/2016","12:20:52",10000,NA,"GPGGA",182011,46.04467065,"N",-109.201365,"W",11263,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.343872,3.266158,3.195416,3.124741,3.061718,3.012817,2.96277,2.906584,2.857904,2.823019,2.802923,2.798536,2.803552,2.796242,2.768458,2.735019,2.720644,2.748754,2.822479,2.914623,2.971964,2.979987,2.962226,2.930651,2.887701,2.841106,2.796692,2.753903,2.710361,2.669533,2.636247,2.611275,2.595892,2.590032,2.603237,2.662706,2.794165,2.97048,16.392,9.3866,NA,0,17.3,-1,"WheatUS16","9/08/2016","12:21:05",10000,NA,"GPGGA",182025,46.04466993,"N",-109.2011163,"W",11265,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.385092,3.307002,3.235552,3.16452,3.100359,3.047531,2.993747,2.93864,2.890849,2.855676,2.834077,2.829307,2.834173,2.827922,2.79915,2.763925,2.749558,2.776562,2.849548,2.940495,2.998457,3.00814,2.991761,2.95982,2.916986,2.870485,2.826631,2.781345,2.737109,2.69627,2.663401,2.637267,2.621214,2.615884,2.629174,2.687997,2.817118,2.993661,14.8736,9.4523,NA,3.05685,15.84,-1,"WheatUS16","9/08/2016","12:21:19",10000,NA,"GPGGA",182037,46.04466918,"N",-109.2009027,"W",11266,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.58291,3.49579,3.414444,3.336592,3.265913,3.207519,3.148035,3.086143,3.032808,2.991804,2.965293,2.95641,2.956985,2.945191,2.911098,2.871916,2.854229,2.879779,2.950116,3.039769,3.095092,3.104243,3.086606,3.054089,3.010351,2.963123,2.916511,2.869755,2.823285,2.780656,2.745506,2.718475,2.701929,2.696806,2.711006,2.772983,2.908732,3.089736,15.0296,9.1444,NA,2.819325,15.99,-1,"WheatUS16","9/08/2016","12:21:37",10000,NA,"GPGGA",182051,46.04466842,"N",-109.2006552,"W",11267,"FarmerB_PRO_PRO_2016_sec35middle.csv"
"SEC 35 MIDDLE",3.533177,3.448465,3.371877,3.296723,3.227613,3.169758,3.114974,3.058316,3.008046,2.970866,2.949287,2.945172,2.948887,2.941748,2.911975,2.874481,2.858191,2.887408,2.963387,3.059523,3.120687,3.131261,3.113709,3.079728,3.033819,2.984176,2.936655,2.890651,2.8442,2.800995,2.765719,2.738823,2.722029,2.716046,2.729737,2.791271,2.926453,3.111417,14.3952,9.2402,NA,2.961164,15.38,-1,"WheatUS16","9/08/2016","12:21:55",10000,NA,"GPGGA",182109,46.04466822,"N",-109.2003358,"W",11268,"FarmerB_PRO_PRO_2016_sec35middle.csv"
