"sample_id","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","protein","moisture","slope1","bias1","slope2","bias2","product","date","time","int_time","temp","gps","utc_time","y","n","x","w","id","orig_file"
"HENRYS",3.075138,2.990197,2.910401,2.836276,2.771679,2.716196,2.663832,2.607749,2.557711,2.519468,2.495849,2.492199,2.49901,2.493279,2.466452,2.434378,2.424303,2.462355,2.552052,2.662799,2.732329,2.739313,2.708383,2.660234,2.602723,2.54182,2.485941,2.434724,2.385146,2.338617,2.300519,2.270787,2.251307,2.243568,2.257724,2.319695,2.46003,2.665439,10.674,9.3004,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:03:21",10000,37,"GPGGA",200931,47.8965205793333,"N",-110.547904890667,"W",9342,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.940505,2.860188,2.786201,2.716498,2.656211,2.606421,2.557044,2.506156,2.4582,2.42211,2.402587,2.400312,2.40619,2.40242,2.379017,2.349716,2.342234,2.382883,2.472507,2.576965,2.642618,2.648302,2.61864,2.572391,2.516318,2.459102,2.40604,2.35655,2.308249,2.264881,2.229418,2.201172,2.182837,2.17811,2.193224,2.253473,2.390928,2.591276,11.096,10.171,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:03:43",10000,37.9,"GPGGA",200945.8,47.89635436,"N",-110.548037698,"W",9343,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.861742,2.786902,2.717536,2.655495,2.599705,2.552077,2.506888,2.457395,2.412085,2.379575,2.362347,2.360526,2.36786,2.365166,2.342414,2.313391,2.306804,2.345812,2.431034,2.53301,2.597669,2.60389,2.576396,2.532949,2.479781,2.424033,2.373006,2.324634,2.279751,2.237659,2.202234,2.175236,2.157723,2.15206,2.165921,2.22472,2.357508,2.548941,11.914,10.5,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:04:02",10000,37.3,"GPGGA",201008.6,47.8959621471667,"N",-110.5480033685,"W",9344,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.815001,2.74237,2.675107,2.611268,2.556188,2.510739,2.46789,2.420846,2.37629,2.344059,2.325779,2.322873,2.328867,2.325187,2.302537,2.276302,2.271762,2.309268,2.391171,2.487503,2.545436,2.549281,2.522799,2.480885,2.428982,2.375651,2.326595,2.28046,2.235395,2.19592,2.163109,2.137584,2.122056,2.117743,2.131834,2.190054,2.320273,2.50803,12.964,10.794,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:04:20",10000,38.3,"GPGGA",201027.4,47.8955873875,"N",-110.548006676667,"W",9345,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.847263,2.772816,2.702466,2.637765,2.580762,2.533423,2.489334,2.440064,2.39579,2.363726,2.34645,2.345067,2.352529,2.351044,2.329996,2.301427,2.294663,2.335819,2.424029,2.526009,2.591443,2.598792,2.570931,2.525955,2.4719,2.417316,2.36608,2.316753,2.272229,2.230709,2.195068,2.168343,2.15109,2.145783,2.159892,2.219288,2.353053,2.547028,10.51,11.147,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:04:36",10000,37,"GPGGA",201045.4,47.8952544865,"N",-110.548009562667,"W",9346,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.922315,2.843786,2.770463,2.702046,2.641443,2.591517,2.544228,2.492765,2.445934,2.41075,2.390963,2.388448,2.393965,2.388486,2.363415,2.331741,2.321354,2.356851,2.441706,2.544804,2.61031,2.617957,2.590569,2.547589,2.494077,2.437626,2.385481,2.337067,2.289452,2.245438,2.209427,2.181231,2.162332,2.155272,2.169299,2.228581,2.361952,2.555636,12.392,9.1864,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:05:04",10000,37.4,"GPGGA",201101.6,47.894961009,"N",-110.548011170167,"W",9347,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.93849,2.860436,2.78886,2.720955,2.661168,2.612277,2.565667,2.514646,2.467785,2.433646,2.415494,2.412222,2.419524,2.417215,2.391261,2.36034,2.351102,2.386878,2.473787,2.581273,2.649223,2.655549,2.627821,2.583086,2.528108,2.471584,2.419,2.370157,2.323967,2.27919,2.242391,2.21436,2.195373,2.187258,2.20083,2.260138,2.39333,2.588003,11.694,9.7319,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:05:20",10000,36.7,"GPGGA",201129,47.8944158141667,"N",-110.548015890333,"W",9348,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.885363,2.811011,2.742772,2.677254,2.621128,2.5757,2.530827,2.480407,2.435134,2.404058,2.385772,2.383738,2.39328,2.390444,2.365916,2.33626,2.327479,2.362161,2.449169,2.553941,2.620968,2.629101,2.601671,2.557515,2.504174,2.44923,2.397577,2.349321,2.303807,2.261221,2.223771,2.196152,2.178008,2.170367,2.182971,2.240932,2.372412,2.564104,11.331,9.558,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:05:36",10000,37.2,"GPGGA",201145.6,47.8940929351667,"N",-110.548018031333,"W",9349,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.960209,2.882438,2.809403,2.740516,2.679506,2.630033,2.584277,2.532008,2.485184,2.450777,2.430861,2.429218,2.437576,2.433905,2.408936,2.377814,2.368787,2.406491,2.494884,2.603835,2.672325,2.678988,2.651046,2.604879,2.549016,2.49289,2.439895,2.390081,2.34382,2.299703,2.262259,2.233809,2.214771,2.206893,2.221066,2.281194,2.416365,2.614154,10.901,9.3519,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:05:52",10000,36.5,"GPGGA",201200.8,47.8937939558333,"N",-110.548020444167,"W",9350,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.976147,2.898366,2.822725,2.7537,2.694199,2.641899,2.592183,2.540092,2.491689,2.455214,2.434909,2.429777,2.433867,2.428454,2.402612,2.36925,2.35746,2.391607,2.474845,2.577534,2.642262,2.649209,2.622319,2.577714,2.523702,2.468394,2.416223,2.367824,2.320964,2.277821,2.241363,2.212562,2.193259,2.186352,2.198852,2.256096,2.38785,2.578411,10.571,9.522,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:06:12",10000,37,"GPGGA",201216.8,47.8934715298333,"N",-110.5480230525,"W",9351,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.937276,2.85969,2.788078,2.71872,2.659131,2.609446,2.562892,2.511355,2.464725,2.430304,2.410714,2.407694,2.414422,2.410532,2.38482,2.353917,2.344228,2.379302,2.465487,2.571022,2.637899,2.643872,2.616433,2.572447,2.517477,2.461237,2.410284,2.361564,2.314079,2.271561,2.23478,2.205371,2.187732,2.181114,2.193223,2.253293,2.387184,2.580631,12.931,9.3301,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:06:29",10000,37,"GPGGA",201236.8,47.8930636291667,"N",-110.54802636,"W",9352,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.769098,2.69567,2.62781,2.564603,2.510119,2.466027,2.424088,2.37796,2.334054,2.303093,2.286195,2.282538,2.289918,2.289138,2.271153,2.251763,2.257357,2.307197,2.394006,2.486493,2.540482,2.539885,2.509048,2.463823,2.409328,2.354783,2.303535,2.256423,2.213633,2.175705,2.143951,2.122507,2.113221,2.112216,2.129582,2.195109,2.334469,2.532111,12.669,14.529,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:06:50",10000,36.4,"GPGGA",201254.6,47.8927052658333,"N",-110.548029366167,"W",9353,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.559505,2.497462,2.439114,2.385873,2.34281,2.309724,2.276355,2.238762,2.204243,2.179537,2.168415,2.171599,2.181753,2.186108,2.182187,2.1846,2.215531,2.289462,2.386175,2.468364,2.50644,2.496623,2.458197,2.407469,2.34835,2.291228,2.239441,2.193553,2.154102,2.120737,2.098282,2.085886,2.084271,2.093657,2.121244,2.19542,2.348402,2.558033,10.905,19.788,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:07:06",10000,36.4,"GPGGA",201314.8,47.892286925,"N",-110.548032243,"W",9354,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.87584,2.800744,2.730965,2.664871,2.606744,2.559862,2.515592,2.467058,2.422219,2.388278,2.369469,2.367015,2.373316,2.369038,2.34657,2.321951,2.317377,2.357466,2.444149,2.54406,2.603385,2.607405,2.579718,2.535066,2.480383,2.426025,2.375501,2.327592,2.282685,2.242245,2.20787,2.182523,2.16769,2.162879,2.179111,2.239966,2.374437,2.569603,12.496,10.277,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:07:25",10000,36.9,"GPGGA",201331.6,47.891937908,"N",-110.548035418667,"W",9355,"FarmerI_PRO_PRO_2018_henrys.csv"
"HENRYS",2.903034,2.826786,2.755675,2.689871,2.632977,2.585113,2.54155,2.493238,2.447455,2.412941,2.394002,2.391809,2.396951,2.393319,2.373985,2.351016,2.35095,2.396634,2.484848,2.583045,2.641211,2.642528,2.610779,2.563834,2.507216,2.450034,2.398575,2.35024,2.30459,2.264524,2.231135,2.205834,2.192374,2.189956,2.207169,2.270962,2.411168,2.612591,11.78,11.531,1.01,1,1.1,-0.4,"Wheat16H","18/07/2018","14:07:42",10000,36.1,"GPGGA",201350.4,47.8915476435,"N",-110.548038650667,"W",9356,"FarmerI_PRO_PRO_2018_henrys.csv"
